	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSR2	5061.784487	0.006301815	0.166827321	0.037774479	0.969867493	0.985655184
SNAP29	4090.809971	0.006366063	0.112603433	0.056535245	0.954915419	0.976948057
CTD-2245E15.3	36.62486502	0.00637679	0.396977932	0.016063336	0.987183864	0.993824916
RBM22	7775.305455	0.00640917	0.123716878	0.05180514	0.95868396	0.979413273
RP1-37N7.1	24.3786706	0.00651368	0.475786365	0.013690345	0.989077026	0.994901496
TAF8	2197.923632	0.006626228	0.116638562	0.056809928	0.954696605	0.976930726
RIPK2	5860.794842	0.00663398	0.117229378	0.056589743	0.954872006	0.976948057
RP13-49I15.6	2.630754659	0.006698791	1.741854418	0.003845781	0.996931518	0.998333086
GPAA1	6995.835451	0.006731285	0.155998585	0.043149652	0.965582239	0.983522638
MCF2L	1988.978602	0.006895884	0.145371382	0.047436328	0.962165476	0.981854312
CTC-343N3.1	18.39244002	0.007005791	0.675573194	0.010370143	0.991725971	0.995675282
SMYD3	1490.919677	0.007112126	0.151042398	0.047086951	0.962443927	0.981973416
AC022819.3	10.63487947	0.007117115	1.107140074	0.006428378	0.994870931	0.997666883
PTRH2	6025.224589	0.007142668	0.13980953	0.051088563	0.95925495	0.979583959
HSD17B6	121.3138999	0.007497096	0.292501859	0.025630933	0.979551713	0.990481843
PARD3B	785.1058502	0.007690186	0.193402787	0.039762537	0.968282444	0.984794901
PGK2	15.23035444	0.007781605	0.762973495	0.01019905	0.991862476	0.995675282
CAPN10	875.2529453	0.007784113	0.150803981	0.051617425	0.958833535	0.9794831
RET	11754.94507	0.007826612	0.104144332	0.075151586	0.940094105	0.969667914
NRTN	47.63831936	0.007857984	0.447631551	0.017554579	0.985994191	0.993399148
FAM160A2	1310.040578	0.007890265	0.134677307	0.05858645	0.953281503	0.97627539
RP5-966M1.6	9.462121309	0.008083356	0.719481223	0.011234979	0.991035972	0.995581566
GRIPAP1	4995.808917	0.00808509	0.117174821	0.069000231	0.944989436	0.971798641
AC068580.7	26.87813372	0.008109865	0.467666805	0.017341118	0.986164483	0.993486981
TMED2	29892.41417	0.008250029	0.104737014	0.078768994	0.937216367	0.968215392
CNOT2	7297.451144	0.008377568	0.145733444	0.057485555	0.954158412	0.976825446
NSMCE1	3140.787226	0.008482268	0.215274133	0.039402168	0.968569751	0.984913327
SLBP	5679.539874	0.008532562	0.135976998	0.062750036	0.949965553	0.974276327
RPL7P26	3.256448288	0.008545705	1.372859758	0.006224747	0.995033402	0.997711791
NME9	19.56222233	0.008633394	0.659498032	0.013090856	0.989555306	0.995004354
ZNF84	4141.431568	0.00863732	0.143823726	0.060054906	0.952111905	0.975671315
MRPS6	1811.406728	0.008763418	0.197015757	0.044480799	0.964521157	0.983055327
KIN	1854.973282	0.008860222	0.117725168	0.075261916	0.940006322	0.969631054
IMP4	6577.082062	0.008881621	0.177967147	0.049905956	0.960197331	0.980298991
PPP1R9B	7127.26808	0.008897188	0.120209497	0.074014022	0.940999228	0.969954894
TIMM8B	2485.128057	0.008917193	0.240371952	0.037097479	0.970407282	0.986003372
CBR3	155.1400343	0.008955277	0.271679716	0.032962628	0.97370439	0.987606269
ZNF341	483.8929558	0.009093568	0.155494414	0.05848164	0.953364986	0.976319716
SFSWAP	5225.271556	0.009134743	0.116012362	0.078739391	0.937239913	0.968215392
DNAJC18	357.595227	0.009171636	0.170352975	0.053839011	0.957063428	0.978333295
TTC9	2384.232814	0.009290395	0.121897513	0.076214802	0.939248207	0.969425497
TXNDC2	14.14123507	0.009400784	0.692759369	0.013570056	0.989172994	0.994941861
NGLY1	2617.864145	0.009422191	0.119520621	0.078833181	0.937165312	0.968215392
RP11-686O6.2	215.2730326	0.009466808	0.23155012	0.040884486	0.967387985	0.98432785
PPAN	271.7720718	0.009473427	0.180459347	0.052496184	0.958133336	0.979014902
HADHA	21393.46975	0.009526108	0.138157998	0.068950825	0.945028762	0.971798641
HSFX1	12.61468501	0.009588505	0.664022493	0.01444003	0.988478923	0.994622105
SLC30A5	8075.29386	0.009732706	0.147046747	0.066187837	0.94722828	0.97295693
RP11-539E17.5	4.028497866	0.009758377	1.152906997	0.00846415	0.993246666	0.996642656
RP13-20L14.6	109.2921321	0.009831617	0.254346512	0.03865442	0.969165914	0.985313269
CREBL2	5085.573638	0.009879943	0.144348905	0.068444876	0.9454315	0.972034946
MTIF2	5309.765562	0.009882165	0.107755757	0.091708925	0.926929307	0.963240443
ZDHHC6	4882.105446	0.010034557	0.108411117	0.092560222	0.926252947	0.962942244
GABRB3	15.46927187	0.010181834	0.684238602	0.014880532	0.988127492	0.994433295
LYG2	3.992355182	0.010274584	1.262079077	0.008140999	0.993504495	0.996746815
C11orf65	36.21075372	0.010320054	0.421190039	0.024502131	0.980452084	0.990829815
MC1R	748.7685298	0.01041503	0.184503769	0.056448872	0.954984225	0.976948057
SCOC-AS1	38.13976948	0.010542883	0.479360294	0.021993651	0.98245302	0.991482558
ITGB1BP1	4752.516174	0.010825275	0.18880417	0.057335998	0.954277546	0.976825446
CTB-89H12.4	1889.501224	0.01085699	0.297363789	0.0365108	0.970875068	0.986266445
AC007292.7	17.09465795	0.01086463	0.567280487	0.019152131	0.984719744	0.99269037
APRT	7841.212551	0.010881587	0.25037559	0.043461055	0.965334009	0.983352282
RWDD3	88.28249835	0.010892566	0.298775798	0.036457323	0.970917707	0.986268506
C1orf27	4456.211722	0.01093688	0.12751918	0.085766546	0.931652	0.965689308
RANBP3	2673.240006	0.011001318	0.13048165	0.084313147	0.93280746	0.966474487
TMSB4XP4	23.96549884	0.011012135	0.507526841	0.02169764	0.982689146	0.991566115
ZC3H3	2442.727892	0.011136859	0.141352825	0.078787667	0.937201513	0.968215392
FYN	140.7884387	0.011162309	0.230088882	0.04851303	0.96130738	0.981232456
FAM185A	1162.289148	0.01116305	0.130100014	0.085803607	0.931622539	0.965689308
ZNF529	629.4926375	0.011263094	0.213533797	0.05274619	0.957934136	0.978976116
DDX51	2408.377407	0.011336829	0.119844986	0.094595773	0.924635907	0.961830739
HRAS	3112.291257	0.011367358	0.251226915	0.045247371	0.963910136	0.982684979
TSSC1	3386.552378	0.011420468	0.123395569	0.092551683	0.926259731	0.962942244
FBXL13	39.58347609	0.011461758	0.383837148	0.029860993	0.976177915	0.988566666
GS1-393G12.14	10.99916708	0.011653331	0.773061116	0.015074269	0.987972929	0.994360155
NSMCE3	1311.503437	0.011683784	0.137467748	0.08499291	0.932267027	0.966203091
MMP13	13.8575335	0.011969069	0.722247511	0.016571977	0.986778081	0.993646757
RP11-10C24.3	511.3408	0.012039402	0.17230341	0.069873264	0.944294534	0.971372656
CCT8P1	157.0905466	0.012146236	0.259070391	0.046883923	0.962605742	0.982013748
FAM65A	2609.335884	0.012193755	0.150169441	0.081199977	0.935282917	0.967759402
YLPM1	10602.16553	0.012224529	0.172117821	0.071024193	0.943378501	0.970819075
PEX13	4964.772726	0.01243325	0.1327354	0.093669437	0.925371749	0.962301032
REXO4	4661.313597	0.01245027	0.134822491	0.092345645	0.926423424	0.963035221
AC004980.7	158.662119	0.012601701	0.204988747	0.061475085	0.950980856	0.974947067
FMN1	3643.544827	0.012645039	0.24711226	0.051171234	0.959189073	0.979583959
USP30-AS1	1.334219332	0.0126555	2.186175945	0.005788876	0.995381171	NA
AP001062.7	171.5624173	0.012666912	0.25830922	0.049037785	0.960889184	0.980907636
GLRA2	2.764373271	0.012890138	1.730761666	0.007447668	0.994057676	0.99709585
ZYX	4495.633676	0.012931932	0.139738338	0.092543911	0.926265905	0.962942244
RAP2C-AS1	237.5331606	0.01293834	0.270402136	0.047848514	0.961836972	0.981644389
NDUFA9	647.4110072	0.013006951	0.241366169	0.053888873	0.957023702	0.978333295
ARAP3	43.18270891	0.013278078	0.383116362	0.034658081	0.972352387	0.986941534
RP11-503E24.2	13.83288582	0.013295245	0.804461722	0.016526884	0.986814055	0.993646757
PMS1	2170.437809	0.01343977	0.14847655	0.090517797	0.927875752	0.963646283
TTC28-AS1	408.4476406	0.013447581	0.195259124	0.068870437	0.945092751	0.971823293
MED26	426.1724435	0.01356548	0.161376127	0.084061253	0.933007731	0.966540429
SPIN2A	14.31082364	0.013652076	0.584657563	0.02335055	0.98137065	0.991022431
NSUN5	3193.014541	0.013735004	0.189647823	0.072423739	0.942264694	0.970353235
XPNPEP3	2215.621047	0.013765494	0.131869162	0.104387512	0.916861833	0.95769331
HSPD1P10	1.667531165	0.013795561	1.960883822	0.007035379	0.994386626	NA
PA2G4	15686.13746	0.013801676	0.174072607	0.079286895	0.93680443	0.968215392
MRPS25	4325.683032	0.013890284	0.131941477	0.1052761	0.916156727	0.957391664
STXBP5	5356.725079	0.013988604	0.190730736	0.073342161	0.941533842	0.970223419
BCDIN3D-AS1	101.3376238	0.014016721	0.337286189	0.041557353	0.966851571	0.9840314
CHST15	5373.679773	0.014103144	0.160516404	0.087861078	0.929987092	0.964801181
AP001372.2	586.5505735	0.014193128	0.140889202	0.100739643	0.919757141	0.959049501
MRPL22	4722.529153	0.014319284	0.222207348	0.064441092	0.948619012	0.973841202
RPS26P3	15.57470604	0.014349498	0.631431797	0.022725333	0.981869368	0.991158096
CTD-2260A17.1	3.69835037	0.014434005	1.386906503	0.010407338	0.991696296	0.995675282
CHCHD7	2212.821709	0.014557477	0.160327303	0.09079849	0.92765271	0.963571322
HMGN5	437.5515339	0.014583175	0.200599197	0.072698073	0.942046382	0.970334952
PAPD5	1894.411878	0.014660887	0.270420968	0.054215054	0.956763827	0.978109375
ANK3	6174.530746	0.014696933	0.19384301	0.07581874	0.939563307	0.969503504
APOBEC3F	13.31724793	0.014718585	0.637552418	0.023086078	0.981581611	0.991082653
FCHSD2	2315.743792	0.014805994	0.183842124	0.080536459	0.9358106	0.967934252
HMGN4	3411.847101	0.014897983	0.138659892	0.107442629	0.914437837	0.956294937
AP5Z1	3255.4907	0.014976842	0.130042298	0.115169003	0.908311167	0.952841994
ILKAP	2172.593989	0.01520476	0.154194803	0.098607472	0.921449937	0.960143633
ANKMY2	1756.441158	0.015207266	0.12250417	0.124136723	0.901207023	0.948914535
AMD1P3	5.080070173	0.015212777	1.14400097	0.013297871	0.989390147	0.994941861
TBCAP1	57.95296982	0.015233659	0.447855959	0.034014639	0.972865477	0.987173518
CTCF	14969.45621	0.015359876	0.149240514	0.102920285	0.918026238	0.958217296
UBQLN4	6975.503127	0.015408236	0.128355137	0.120043778	0.904448469	0.950802333
SCAF1	8677.527889	0.015647691	0.140730326	0.111189192	0.911466322	0.954790851
NME6	1531.335833	0.015686557	0.130979104	0.119763812	0.90467025	0.950963502
RP11-755F10.1	109.1954595	0.015784759	0.295772353	0.053367931	0.957438756	0.978511031
TRMU	2004.326626	0.01589303	0.157133498	0.101143486	0.919436558	0.958879901
CHURC1	10509.63332	0.01595913	0.137281908	0.116250788	0.907453786	0.952427853
SEZ6L2	5967.861402	0.016077859	0.117490603	0.13684379	0.89115427	0.9434837
KCNG2	2.107911384	0.016256931	2.589636142	0.006277689	0.994991162	NA
TSEN2	1421.977434	0.016320382	0.120165972	0.135815341	0.891967263	0.943783121
GRHL2	17500.44297	0.016354509	0.150559628	0.108624796	0.913500093	0.955849343
POGZ	11957.84372	0.016471985	0.180418666	0.091298672	0.927255273	0.963389262
MCHR2	7.022713145	0.016625113	0.888788254	0.01870537	0.985076144	0.99296722
EIF4A2P2	11.73844116	0.016699802	0.730227709	0.022869308	0.981754523	0.991106743
RP11-522B15.4	15.3534687	0.016782051	0.784409034	0.021394515	0.982930949	0.991608283
THUMPD3-AS1	2101.161638	0.016830473	0.155630082	0.108144087	0.913881397	0.956030824
AGAP2	618.6541864	0.01687716	0.151171463	0.111642502	0.911106871	0.954563529
SNN	2445.101198	0.016896096	0.124004338	0.136254076	0.891620427	0.943648945
NAT2	5.185816999	0.01693313	1.367109316	0.012386084	0.990117588	0.99528128
SEC13	15893.10896	0.017002455	0.197653377	0.086021575	0.931449267	0.965666324
NDUFV2P1	122.1702652	0.017331469	0.259884712	0.066689068	0.946829238	0.972785128
JARID2-AS1	14.34896033	0.017336612	0.845250869	0.020510611	0.983636047	0.991968485
RCBTB1	2083.579457	0.017394441	0.247145511	0.070381376	0.943890115	0.971101538
ITPKA	120.1638447	0.01744736	0.28853931	0.060467879	0.951782998	0.975604689
FZD2	564.5379578	0.017547227	0.165609981	0.105955131	0.915617952	0.957013725
ALKBH6	443.7492621	0.017653281	0.193349019	0.091302666	0.9272521	0.963389262
BAIAP2L1	1801.977389	0.017713487	0.137475012	0.128848779	0.897477307	0.946793531
RP1-102E24.1	1.021372517	0.017806643	2.343724748	0.007597583	0.993938064	NA
RP11-523H20.3	53.53631006	0.017842496	0.373472655	0.047774572	0.961895902	0.981661717
SCLY	136.791574	0.017867657	0.218487559	0.081778831	0.93482259	0.967489194
PLCD4	205.6620739	0.017915897	0.208347501	0.085990457	0.931474004	0.965666324
SPAST	3602.783681	0.017946298	0.243402948	0.073730818	0.941224576	0.970022494
MRPL10	6769.094467	0.018081543	0.15439003	0.117116001	0.90676813	0.951881168
MED10	3472.157089	0.018134881	0.18731261	0.096816122	0.92287242	0.961038462
RNF141	2352.777467	0.018279843	0.152848565	0.119594468	0.904804402	0.951011846
SLC25A14	1502.53053	0.01839001	0.145127185	0.126716507	0.89916478	0.947626968
KRI1	3242.284167	0.018441512	0.118922177	0.155072102	0.876764475	0.936042819
ELP6	2089.279258	0.018447327	0.203974602	0.090439334	0.927938101	0.963646283
C5orf45	2279.277605	0.018449872	0.171412064	0.107634619	0.914285534	0.956241034
OSBPL1A	1763.486901	0.018454611	0.214328383	0.086104372	0.931383448	0.965666324
EID3	14.76879955	0.018474261	0.653374689	0.02827514	0.977442708	0.989131781
APEX2	3301.925961	0.018628953	0.143536919	0.129785096	0.896736455	0.946397859
DNAJC27	669.0453731	0.018720762	0.238362861	0.078538922	0.93739937	0.968215392
TROAP	4801.751438	0.01873274	0.121305634	0.154425967	0.877273881	0.93616991
LBHD1	509.6372037	0.018866796	0.15478154	0.121893065	0.902983708	0.949920399
AGPAT1	1629.153255	0.018892426	0.166151619	0.113705938	0.909470905	0.953440836
SOCS6	1649.190583	0.018926337	0.211814395	0.089353404	0.928801053	0.964174498
TSG101	8175.553179	0.018931837	0.127268376	0.14875523	0.881746779	0.938611534
HMGN1P36	128.5906748	0.018936907	0.252898314	0.074879531	0.940310562	0.969669996
RP11-146F11.4	4.560883875	0.01895544	1.107981299	0.017108086	0.986350388	0.993493112
TYK2	6475.370109	0.018986482	0.111197949	0.170744892	0.864424363	0.928260094
OTUD7A	84.07391213	0.019009834	0.330006408	0.057604439	0.954063713	0.976812477
RP11-517O13.3	3.056978649	0.019123671	1.5400236	0.012417778	0.990092302	0.99528128
SH3BGRL3	3110.831188	0.01920817	0.179726481	0.106874458	0.914888576	0.956633536
AP000866.1	12.25833287	0.019252057	0.732991915	0.026265034	0.979045944	0.99021147
PTDSS1	11063.86848	0.019305019	0.108180737	0.178451539	0.858368376	0.925475444
RP11-4M23.4	2.082052055	0.019452539	1.872430318	0.010388926	0.991710986	NA
PRRG4	1342.483459	0.019480245	0.283747536	0.068653441	0.94526548	0.971952445
MRPL18	3880.020548	0.019614156	0.185160492	0.105930567	0.915637442	0.957013725
POTEKP	419.4892311	0.019857353	0.257065118	0.077246394	0.938427534	0.968784319
TCAIM	2835.830797	0.019859747	0.124978904	0.158904796	0.873743882	0.934090942
AMPD3	203.0329404	0.019925896	0.232885892	0.085560769	0.931815586	0.965817648
ZMYM3	4712.238661	0.019930849	0.118481205	0.168219503	0.866410599	0.92907704
RRP1	4688.919817	0.019941563	0.177026885	0.112647086	0.910310354	0.954274454
KRT18P17	290.448807	0.020001195	0.386090403	0.051804433	0.958684523	0.979413273
RP11-158M2.4	4.708781145	0.020034293	1.115640813	0.017957655	0.985672634	0.993399148
CRY1	2791.237586	0.020074638	0.174982494	0.114723691	0.908664135	0.952965288
ZNF43	2280.270097	0.020089258	0.183021843	0.109764267	0.912596331	0.955350478
AP001205.1	32.16750746	0.020178357	0.504776058	0.039974869	0.968113162	0.984737655
ZBTB7A	11088.86056	0.020321191	0.112652581	0.18038815	0.856847857	0.924821433
CMTR2	5083.488652	0.02032934	0.240800736	0.084423911	0.932719397	0.966465708
BRAP	3513.780749	0.020354368	0.114563091	0.177669509	0.858982533	0.925946307
RP11-80P20.3	26.15544739	0.020366515	0.499713667	0.040756369	0.967490123	0.98432785
FBXO3	2965.122007	0.020472927	0.16469541	0.124307819	0.901071556	0.948839369
SDF4	13000.84691	0.020584899	0.145131617	0.141836072	0.887209491	0.941605983
MOK	728.2749086	0.020703824	0.147515078	0.140350565	0.888383015	0.942113172
SPPL2A	19308.2215	0.02087276	0.114724491	0.181938138	0.855631274	0.924124394
IAH1	3154.177392	0.020885556	0.173467743	0.120400229	0.90416611	0.950752431
ZNF124	622.0757641	0.020916078	0.212416503	0.098467294	0.921561242	0.96018861
ERGIC2	5267.057058	0.020965531	0.11630867	0.180257683	0.856950275	0.924849771
ACVR2B	1734.662469	0.021003478	0.144152374	0.145703309	0.884155609	0.940254986
USP27X	480.8398496	0.021046907	0.155608792	0.135255259	0.892410058	0.94390184
ZNF418	502.6668742	0.021135983	0.149929395	0.140972909	0.887891344	0.941918018
EXT2	3540.862253	0.021192174	0.112397758	0.188546235	0.850448475	0.920812048
SPTLC2	9558.310964	0.021243174	0.161430034	0.131593693	0.895305674	0.94573501
HBP1	3992.585139	0.021296837	0.212848755	0.100056197	0.92029971	0.959491662
PDIA3P1	1105.02554	0.021389296	0.131893562	0.162170887	0.871171285	0.932631582
MPP6	725.4522765	0.021606226	0.167220836	0.129207739	0.897193272	0.946617248
FAM86EP	385.3786523	0.021612346	0.194650813	0.111031369	0.911591471	0.954825611
RP11-399J13.2	403.6528089	0.021666305	0.184594037	0.117372725	0.906564697	0.951794407
PITRM1-AS1	68.34624847	0.021714983	0.465370485	0.046661712	0.962782847	0.982071662
NFYC	3002.920527	0.021772013	0.144152637	0.151034444	0.879948545	0.937654984
UTP11L	4247.667837	0.021814197	0.162018763	0.134639941	0.892896561	0.944169781
ACTR1A	10472.72672	0.021941615	0.161457337	0.135897293	0.891902476	0.943782124
AC004112.4	7.971211942	0.022131304	1.026681169	0.021556161	0.982802004	0.991579794
MSRB1	3331.239072	0.022158421	0.192297869	0.115229673	0.90826308	0.952832706
GTPBP6	3866.990677	0.022203671	0.184781291	0.120161902	0.904354897	0.950802333
UBE2I	7920.87946	0.022233167	0.162731152	0.136625141	0.891327103	0.943543284
MIS18A	3119.039171	0.022326238	0.130502348	0.171079203	0.864161489	0.928214496
C1orf122	1399.440207	0.022398011	0.256474902	0.087330225	0.93040903	0.965018736
NLGN3	15.80420359	0.022400705	0.713494709	0.031395755	0.974953927	0.988301655
C22orf39	1643.0851	0.022418041	0.13866812	0.161666871	0.871568195	0.932832628
SLC30A4	276.88839	0.022539808	0.221307322	0.101848452	0.918876966	0.958543276
ACTG1P1	26.73352419	0.022780922	0.445811767	0.051099868	0.959245941	0.979583959
SEMA4A	1500.754404	0.022904245	0.131146341	0.174646465	0.861357436	0.926966947
PPP2R2D	4628.182193	0.022933093	0.157871764	0.14526406	0.884502389	0.940298292
RP11-379K17.4	4.612897115	0.023053552	1.041677089	0.022131189	0.982343308	0.991462962
FAM214A	7056.269337	0.023107161	0.19588465	0.117963104	0.906096892	0.951736954
EXOSC8	3856.800311	0.023158256	0.171564674	0.134982661	0.892625583	0.944012581
CPSF7	12532.45859	0.023427844	0.126937788	0.184561623	0.853572889	0.922639807
SEC61B	5966.435703	0.0234344	0.225122369	0.104096276	0.917092946	0.957701757
GPN1	3215.311319	0.023434608	0.116346736	0.201420417	0.840369852	0.914924563
FAM225A	180.1949682	0.02349006	0.29865802	0.078652032	0.9373094	0.968215392
TRAPPC6B	5166.408129	0.023525918	0.117447016	0.200310908	0.841237432	0.915334263
HMGN1P8	4.945640479	0.023529866	1.30457759	0.018036387	0.985609826	0.993381483
IWS1	6967.891501	0.02356165	0.108373404	0.217411736	0.827887486	0.907454154
MRPL39	2267.986911	0.023566457	0.194531527	0.121144667	0.90357645	0.950369983
SH2B2	440.4478989	0.023598777	0.201068873	0.117366633	0.906569524	0.951794407
PPP3CA	8682.897062	0.023633859	0.133682014	0.176791611	0.859672078	0.926428652
7-Mar	10308.87983	0.023658216	0.257243704	0.091968105	0.926723381	0.963129238
RP11-365H22.2	9.434275046	0.023683446	0.81755731	0.028968546	0.976889677	0.988968447
ABHD17AP1	4.648228717	0.023746091	1.016513907	0.023360321	0.981362856	0.991022431
RAB21	15149.6378	0.023795826	0.106271204	0.223916028	0.822822643	0.904395125
RP11-245D16.4	104.7083819	0.023797251	0.365475635	0.065113098	0.948083952	0.973497669
MRPL28	5748.7124	0.023844131	0.227619802	0.104754205	0.916570849	0.957659596
COL9A2	899.1391892	0.023863024	0.201152514	0.118631496	0.905567311	0.951420716
E2F5	1304.919736	0.02392944	0.144671404	0.165405456	0.86862486	0.930625699
SLC52A2	3178.664639	0.023929785	0.17789545	0.134516004	0.892994557	0.944169781
MTCH1	13566.67516	0.023941788	0.150486531	0.159095884	0.873593331	0.934012223
RP11-305B6.1	5.011739913	0.024003752	1.085583485	0.022111383	0.982359106	0.991462962
RP11-437J2.3	12.58490111	0.02413823	0.693780426	0.034792319	0.972245345	0.986874131
XRCC6P2	90.03792392	0.024143683	0.276425154	0.087342568	0.930399219	0.965018736
RP11-561C5.4	31.86285591	0.024148245	0.442710888	0.05454631	0.956499913	0.977942415
FBXO4	1137.711971	0.024249724	0.141133882	0.171820709	0.863578484	0.927797702
RPL23AP87	169.692041	0.024279773	0.221555088	0.109587973	0.912736149	0.955350478
KLHL5	2376.742244	0.024505455	0.193984197	0.126327067	0.899473032	0.94782844
RP1-43E13.2	10.60189699	0.024527993	0.678663642	0.036141604	0.971169448	0.986359201
SLC43A2	3256.288821	0.024585556	0.128987502	0.190604174	0.84883572	0.920099277
ALPK1	1087.499388	0.024619565	0.140617	0.175082423	0.861014869	0.926849259
RP11-64B16.3	3.310033967	0.02474038	1.180644267	0.020954983	0.983281566	0.991711946
B4GALT5	3944.768488	0.024858883	0.222562258	0.111694062	0.911065987	0.954563529
METTL15P1	31.81155276	0.024916666	0.55310288	0.045048881	0.964068347	0.982723061
RP3-402G11.28	25.96280444	0.024919623	0.474001022	0.052572931	0.958072185	0.979014902
RNVU1-7	5.646195887	0.024956258	1.007823667	0.024762524	0.980244383	0.990764721
PIAS1	4465.529792	0.025038631	0.211333171	0.118479418	0.905687802	0.951422891
RPS7P4	1.623660799	0.025061537	2.018016694	0.012418895	0.99009141	NA
ARID4A	4871.951457	0.025118838	0.253205364	0.099203419	0.92097676	0.959854659
APITD1-CORT	1.322516658	0.025257577	1.909925625	0.013224377	0.989448781	NA
WASF5P	1.357848261	0.025350838	1.904705435	0.013309584	0.989380802	NA
DRG1	5713.486099	0.025373106	0.18208632	0.139346582	0.889176282	0.942334403
RP11-996F15.2	19.4310791	0.025400491	0.614200187	0.041355394	0.967012573	0.984133995
RAB11FIP5	659.0536512	0.025402565	0.15513725	0.163742522	0.869933841	0.93178148
C3orf17	5086.402498	0.025421829	0.108186102	0.234982393	0.814222399	0.899358948
EEF1B2P8	1.267288932	0.025463014	2.916028045	0.008732088	0.99303289	NA
LIPK	1.267288932	0.025463014	2.916028045	0.008732088	0.99303289	NA
RP11-582E3.2	1.267288932	0.025463014	2.916028045	0.008732088	0.99303289	NA
JMJD6	2425.365035	0.025468686	0.207203321	0.122916398	0.9021733	0.949479146
PLEKHA8	1954.554173	0.025525202	0.172508137	0.147965207	0.882370226	0.938931925
RP3-340B19.3	10.38071575	0.0256429	0.746935573	0.034330806	0.97261336	0.98712391
RP11-191G24.1	136.6851143	0.025794927	0.215603559	0.119640542	0.904767902	0.951011846
RP11-132A1.6	1.325680569	0.025812395	2.450632441	0.010532952	0.991596075	NA
AC023590.1	1.325680569	0.025812395	2.450632441	0.010532952	0.991596075	NA
SLC35E1	9596.926154	0.025820463	0.131479372	0.196384134	0.844309513	0.917157975
OLFM2	439.1479936	0.025917507	0.17829798	0.145360633	0.884426144	0.940298292
NHP2	6292.893693	0.025956432	0.23181283	0.111971506	0.910845999	0.954436229
CBR1	2155.643511	0.025968496	0.190831554	0.136080725	0.891757465	0.943752039
PDCD6	7919.933382	0.025981305	0.118739878	0.218808586	0.826799158	0.906898711
PARD6G	520.2184829	0.025986986	0.145378748	0.17875368	0.858131117	0.925301794
PPIAP11	168.5590857	0.026028367	0.317548839	0.081966499	0.934673354	0.967489194
VPS45	8828.23164	0.026163152	0.112951267	0.231632211	0.816823687	0.900819509
4-Sep	59.43160921	0.02616478	0.330673427	0.079125741	0.936932609	0.968215392
PPP4R3A	17181.6928	0.026217283	0.184300812	0.142252672	0.886880428	0.941460792
CTD-3065J16.9	89.12569137	0.026320321	0.411115947	0.06402165	0.948952988	0.973923938
TSPYL5	8520.550263	0.026344031	0.11343772	0.232233431	0.816356713	0.900679694
TBATA	2.416367433	0.026358722	1.667132751	0.015810812	0.987385323	0.993933514
CTSV	1189.65697	0.026405952	0.16159539	0.163407828	0.87019734	0.932022606
RSRC2	7229.302988	0.026520028	0.126287447	0.209997341	0.833669748	0.910773887
STK32C	744.0976466	0.026637185	0.229213162	0.116211412	0.907484992	0.952427853
RNU7-140P	8.276144831	0.026669449	1.070568914	0.024911474	0.980125575	0.990764721
RP1-224A6.9	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RP11-201O14.2	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RPL23AP85	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RD3	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
AL133243.4	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
SNORA43	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
CNTN4	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
ITIH4	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
ZBED2	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
NPM1P29	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RP11-6F2.5	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
ANKRD18DP	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RNU7-151P	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
LEF1-AS1	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
CTD-2066L21.2	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
CTC-287O8.1	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RBBP4P4	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
AC006028.11	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
CPA5	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
SERBP1P4	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RP3-473B4.3	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RNU6-3P	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
IRF5P1	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RP11-22C11.1	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RNU2-25P	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RP11-409K20.6	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
RP11-851M3.1	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
CTD-2342I9.1	0.633644466	0.026691098	3.600359184	0.007413454	0.994084973	NA
